nome,categoria,comp,b,g,fm
caipira,tradicional,,9,37,47
calabresa,tradicional,,9,37,47
capricciosa,tradicional,,9,37,47
frango,tradicional,,9,37,47
marguerita,tradicional,,9,37,47
mussarela,tradicional,,8,35,45
napolitana,tradicional,,10,37,47
presunto,tradicional,,9,37,47
atum,especiais,,10,43,53
atum catupiry,especiais,,12,45,55
atum cheddar,especiais,,12,45,55
alho,especiais,,9,37,47
calabresa catupiry,especiais,,10,39,49
calabresa cheddar,especiais,,10,39,49
camarao,especiais,,12,45,55
camarao catupiry,especiais,,15,48,58
frango catupiry,especiais,,10,39,49
frango cheddar,especiais,,10,39,49
frango bacon,especiais,,10,39,49
frango bacon cheddar,especiais,,10,43,53
lombinho,especiais,,10,39,49
milho catupiry,especiais,,10,39,49
milho bacon,especiais,,10,39,49
pepperoni,especiais,,10,39,49
pepperoni catupiry,especiais,,12,40,50
pepperoni cheddar,especiais,,12,40,50
portuguesa,especiais,,10,39,49
rucula tomate seco,especiais,,10,39,49
quatro queijos,especiais,,10,39,49
cinco queijos,especiais,,10,43,53
romeu julieta,doces,,7,32,42
banana canela,doces,,8,34,44
chocolate,doces,,8,34,44
alho milho tomate,adicionais,,,5,7
,adicionais,,,5,7
